player_name,cricsheet_id,cricinfo_id,unique_name,match_method,resolved,balls_bowled,is_bowler,wikidata_item,enwiki_title,enwiki_rev_id,enwiki_rev_timestamp,batting_style,bowling_style,playing_role,infobox_template,player_name_norm,cricsheet_id_norm
AA Jasani,1fb04d31,637296.0,AA Jasani,unique_name,True,0,False,http://www.wikidata.org/entity/Q20741005,Arshan Jasani,1269923617.0,2025-01-17T02:45:49Z,,,,Infobox cricketer,aa jasani,1fb04d31
YI Kachhalia,61650adb,1454641.0,YI Kachhalia,unique_name,True,0,False,,,,,,,,,yi kachhalia,61650adb
A Manatos,eebc0141,1267525.0,A Manatos,unique_name,True,0,False,,,,,,,,,a manatos,eebc0141
A Halbhavi,df1b4c8f,1275734.0,A Halbhavi,unique_name,True,0,False,,,,,,,,,a halbhavi,df1b4c8f
Mario Ovalle,f0fbdf0a,1403939.0,Mario Ovalle,unique_name,True,0,False,,,,,,,,,mario ovalle,f0fbdf0a
T Wuatai,307684f3,1447231.0,T Wuatai,unique_name,True,0,False,,,,,,,,,t wuatai,307684f3
NJ Ferraby,c149b9ca,13312.0,NJ Ferraby,unique_name,True,0,False,http://www.wikidata.org/entity/Q7025386,Nicholas Ferraby,1278061161.0,2025-02-28T07:30:38Z,Right-handed,Right-arm medium,,Infobox cricketer,nj ferraby,c149b9ca
EI Azine,c3de315d,1378462.0,EI Azine,unique_name,True,0,False,,,,,,,,,ei azine,c3de315d
Sathya Narayanan,8ae49076,1325911.0,Sathya Narayanan,unique_name,True,0,False,,,,,,,,,sathya narayanan,8ae49076
K Suttisan,00757ae7,1058966.0,K Suttisan,unique_name,True,0,False,,,,,,,,,k suttisan,00757ae7
J Pakhiaokajee,44d623c9,1322790.0,J Pakhiaokajee,unique_name,True,0,False,,,,,,,,,j pakhiaokajee,44d623c9
ASH Parsons,ee572df8,1493443.0,ASH Parsons,unique_name,True,0,False,,,,,,,,,ash parsons,ee572df8
Ivan Splicevic,010658fc,1390692.0,Ivan Splicevic,unique_name,True,0,False,,,,,,,,,ivan splicevic,010658fc
D Sheeli,d5e5f96b,1172133.0,D Sheeli,unique_name,True,0,False,,,,,,,,,d sheeli,d5e5f96b
T Caruana,ab75eb29,572234.0,T Caruana,unique_name,True,0,False,,,,,,,,,t caruana,ab75eb29
Mohammad Ihsan,510e33d3,1321988.0,Mohammad Ihsan,unique_name,True,0,False,,,,,,,,,mohammad ihsan,510e33d3
F Campbell,02c3024c,1155625.0,F Campbell,unique_name,True,0,False,,,,,,,,,f campbell,02c3024c
Tarun Sharma,1ba16d18,463068.0,Tarun Sharma,unique_name,True,0,False,,,,,,,,,tarun sharma,1ba16d18
J West,d46933ed,279532.0,J West,unique_name,True,0,False,http://www.wikidata.org/entity/Q6198874,Jim West (cricketer),1269926328.0,2025-01-17T03:05:48Z,Right-handed,Right-arm medium-fast,,Infobox cricketer,j west,d46933ed
N Chejay,a9e63549,1167760.0,N Chejay,unique_name,True,0,False,,,,,,,,,n chejay,a9e63549
R Walker,be37d889,1463319.0,R Walker,unique_name,True,0,False,,,,,,,,,r walker,be37d889
Zubaidi Zulkifle,dca8273d,913847.0,Zubaidi Zulkifle,unique_name,True,0,False,,,,,,,,,zubaidi zulkifle,dca8273d
S Chilemanya,e1fe58ad,1425072.0,S Chilemanya,unique_name,True,0,False,,,,,,,,,s chilemanya,e1fe58ad
B Angeltti,3cdab0cc,1203197.0,B Angeltti,unique_name,True,0,False,,,,,,,,,b angeltti,3cdab0cc
NL Smith,547408c8,1005373.0,NL Smith,unique_name,True,0,False,http://www.wikidata.org/entity/Q30066872,Nikolai Smith,1337958647.0,2026-02-12T11:28:35Z,Right-handed,Right-arm medium,,Infobox cricketer,nl smith,547408c8
RR Bastiansz,5365f10f,1319337.0,RR Bastiansz,unique_name,True,0,False,,,,,,,,,rr bastiansz,5365f10f
IIR Bhana,390721b3,1399354.0,IIR Bhana,unique_name,True,0,False,,,,,,,,,iir bhana,390721b3
M Akhigbe,32613355,1176870.0,M Akhigbe,unique_name,True,0,False,,,,,,,,,m akhigbe,32613355
